product,complaint_what_happened,date_sent_to_company,issue,sub_product,zip_code,tags,has_narrative,complaint_id,timely,consumer_consent_provided,company_response,submitted_via,company,date_received,state,consumer_disputed,company_public_response,sub_issue
Credit reporting or other personal consumer reports,,2024-09-02T12:00:00-05:00,Incorrect information on your report,Credit reporting,45246,,False,9999893,Yes,Consent not provided,Closed with non-monetary relief,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-02T12:00:00-05:00,OH,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,Ive call Equifax serval times about my credit report and score when I login to Equifax it tells me to call and give the Agent the code blnk number have done this and was told it would be fix but was never fix this been going on for over a month and its hurt me from obtaining my correct information and score,2024-09-03T12:00:00-05:00,Unable to get your credit report or credit score,Credit reporting,07108,,True,9999892,Yes,Consent provided,Closed with explanation,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,NJ,N/A,,Other problem getting your report or credit score
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,33132,,False,9999891,Yes,Consent not provided,Closed with explanation,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,FL,N/A,,Personal information incorrect
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,53224,,False,9999890,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,WI,N/A,,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,33138,,False,9999889,Yes,Consent not provided,Closed with explanation,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,FL,N/A,,Personal information incorrect
Credit reporting or other personal consumer reports,My credit reports are inaccurate. These inaccuracies are causing creditors to deny me credit. You have the duty to report accurate information about consumers. Please investigate these accounts and inquires and update these accounts accordingly to avoid future litigation.,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,28304,,True,9999888,Yes,Consent provided,Closed with explanation,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,NC,N/A,,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-02T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,63104,,False,9999887,Yes,Consent not provided,Closed with non-monetary relief,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-02T12:00:00-05:00,MO,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Investigation took more than 30 days
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,32221,,False,9999886,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,FL,N/A,,Old information reappears or never goes away
Credit reporting or other personal consumer reports,"Im reaching out for your help regarding the incorrect account listed on my credit report. This situation has damaged my reputation, and I urgently need your help. The way youve handled my credit report has left me struggling, as the inaccurate information has seriously tarnished my reputation. Its crucial that these errors are corrected so I can move forward with my family.",2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,63130,,True,9999885,Yes,Consent provided,Closed with explanation,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,MO,N/A,,Account status incorrect
Credit reporting or other personal consumer reports,,2024-09-02T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,60490,,False,9999884,Yes,Consent not provided,Closed with non-monetary relief,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-02T12:00:00-05:00,IL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Investigation took more than 30 days
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,33060,,False,9999997,Yes,Consent not provided,Closed with non-monetary relief,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-03T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Reporting company used your report improperly
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,33060,,False,9999996,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,FL,N/A,,Reporting company used your report improperly
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,89014,,False,9999995,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,NV,N/A,,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,99224,,False,9999994,Yes,Consent not provided,Closed with explanation,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,WA,N/A,,Credit inquiries on your report that you don't recognize
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,30349,,False,9999989,Yes,Consent not provided,Closed with explanation,Web,Lendmark Financial Services,2024-09-03T12:00:00-05:00,GA,N/A,,Information belongs to someone else
